id,name,country,type,logo,url,description
karabuk-university,Karabük University,Turkey,Public,images/karabuk-university_logo.png,null,null
bolu-abant-izzet-baysal-university,Bolu University,Turkey,Public,images/bolu-abant-izzet-baysal-university_logo.png,null,null
nisantasi-university,Nişantaşı University,Turkey,Private,images/istanbul-nisantasi-university_logo.png,null,null
kultur-university,Kültür University,Turkey,Private,images/kultur-university_logo.png,null,null
halic-university,Haliç University,Turkey,Private,images/halic-university_logo.png,null,null
sakarya-university,Sakarya Uygulamalı Bilimler Üniversitesi,Turkey,Public,images/sakarya-university_logo.png,null,null
cankiri-university,Çankırı Karatekin University,Turkey,Public,images/cankiri-university_logo.png,null,null
balikesir-university,Balıkesir University,Turkey,Public,images/balikesir-university_logo.png,null,null
trakya-university,Trakya University,Turkey,Public,images/trakya-university_logo.png,null,null
nigde-university,Niğde Ömer Halisdemir University,Turkey,Public,images/nigde-university_logo.png,null,null
kirsehir-university,Kırşehir Ahi Evran University,Turkey,Public,images/kirsehir-university_logo.png,null,null
biruni-university,Biruni University,Turkey,Private,images/biruni-university_logo.png,null,null